;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;" L’essentiel des informations Spotify sont ou peuvent être 
accessibles par défaut aux autres, notamment votre nom et/ou nom 
d’utilisateur, votre photo de profil, votre type d’abonnement, vos 
relations et vos activités, y compris vos musiques préférées et celles 
que vous ajoutez, les applications tierces que vous ajoutez ou utilisez 
et le contenu Utilisateur que vous postez, télécharger et/ou qui 
contribue au Service. Votre activité sur le Service apparaît 
automatiquement dans le fil d’activité des amis et utilisateurs qui vous
 suivent ou sur votre profil Spotify.
Les informations vous concernant peuvent également être utilisées 
pour notifier aux autres utilisateurs, notamment sur le Service, par 
e-mail, et par l’intermédiaire de Facebook et d’Autres Services 
Intégrés, que vous avez rejoint Spotify, et les actions concernant leurs
 profils Spotify ou les contenus auxquels ils adhérent, ou qui nous 
paraissent intéressantes pour eux. De même, nous pouvons vous informer 
des activités des autres utilisateurs. Par l’intermédiaire de vos paramètres, vous pouvez choisir quelles 
communications vous souhaitez recevoir de notre part, gérer 
vos-informations publiques et définir vos préférences en matière de 
partage. Cependant, veuillez noter qu’il peut ne pas être possible de 
rendre certaines informations privées sur le Service, notamment votre 
nom et/ou nom d’utilisateur, votre photo de profil et d’autres 
informations élémentaires, telles que le suivi de vos relations. Ces 
informations, ainsi que les autres informations qui sont mentionnées 
comme étant « publiques » dans vos paramètres, peuvent être utilisées, 
partagées ou reliées par d’autres sur le Service ou sur le Web, par 
conséquent veuillez utiliser Spotify avec prudence et contrôler 
régulièrement les paramètres de votre compte. N’oubliez pas que si vous 
rendez le contenu de votre profil privé, les autres personnes qui se 
sont déjà abonnées ou qui disposent déjà des détails de ce contenu 
peuvent y avoir toujours accès. Gardez également à l’esprit que les 
listes de lecture et autres contenus ajoutés à votre profil peuvent 
contenir des informations à caractère personnel telles que votre nom 
d’utilisateur, ce qui peut permettre à d’autres personnes de vous 
trouver sur le Service Spotify ou sur d’autres services.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;"If you register with SoundHound, we collect your name, email address, zip code, gender and year of birth. The information you supply about yourself may be used by SoundHound to communicate with you and to provide better service to you.  
We may share de-identified or other non-identifying information with our vendors, suppliers, advertisers, analytics companies and others to improve our service and the relevance of the content provided by those third parties.
Sont ainsi collectés les noms, adresse mail, code postal, genre, et l’année de naissance. Ces données personnelles sont fournies par l’utilisateur. 
Soundhound ne partage que des données anonymisées. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;;Par exemple, nous sommes susceptibles de travailler en partenariat avec des socie?te?s qui proposent des offres incitatives, dans le cadre de programmes de fide?lisation pour voyageurs fre?quents, par exemple, si vous vous abonnez a? notre service ou l'utilisez d'une autre manie?re. Pour prendre en charge ces types de promotion et d'offre incitative, nous sommes susceptibles de partager votre nom et d'autres informations. En participant a? ces promotions ou programmes communs, vous acceptez que nous partagions vos donne?es. Veuillez noter que nous ne contro?lons pas les pratiques en matie?re de confidentialite? de ces socie?te?s tierces ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;« 8tracks does not share your personally identifiable information with other organizations for their marketing or promotional uses without your prior express consent. Please be aware, however, that any personally identifiable information that you voluntarily choose to display on any publicly available portion of the 8tracks Platform — such as when you publish contact information to complete your profile information — becomes publicly available and may be collected and used by others without restriction. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identifiants électroniques;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Fusion des identifiants plusieurs services de l’entreprise/ transmission à des tiers pour fusion des identifiants ou recherche d’amis présents;Agrégation des identifiants avec tiers / utilisation des comptes de messagerie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;Collecte automatique des données de connexion pour les besoins du service, notamment lutte contre la fraude et les abus.;;Possibilité de se connecter via facebook ou google+ et de partager ses avis sur des films ou séries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;"«Les données collectées automatiquement par le Site sont votre adresse IP (adresse de votre ordinateur), à l'exclusion de toute autre. Vous êtes informés que le Site est susceptible de mettre en oeuvre un procédé automatique de traçage (cookie), auquel vous pouvez faire obstacle, si vous n'êtes pas un utilisateur inscrit (Conditions d'Utilisation), en modifiant les paramètres concernés de votre navigateur internet.»
De plus, «les données identifiées comme étant obligatoires au sein du Formulaire sont nécessaires aux fins de bénéficier des fonctionnalités du Site (écoute de musique, création et gestion des Playlists, etc)».";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;"""Lors de l'utilisation des Services, vous pourrez être amené à divulguer des données vous
concernant telles que votre nom, votre prénom, votre adresse électronique etc.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;"
Collecte des données techniques, qui peuvent inclure l’URL à partir de laquelle vous accédez au Service, votre adresse IP...  (absence de précision sur la protection de ces données collectées) et les informations liées au profil facebook, notamment les contacts des utilisateus. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;Your browser supplies various information, including cookies and an IP address. Collecte des données à partir du navigateur utilisé (aucune information de ce type n'est partagée) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;« We may use your email address, without further consent, for administrative communications such as notifying you of major 8tracks Platform updates, for customer service purposes, and to send privacy or security related notices. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informations publiques / données de profil;Uniquement accessible aux autres utilisateurs;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Mise à disposition publique pour référencement et agrégation (avec opt-out);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;;;Les utilisateurs du site ont accès aux profils des autres utilisateurs et peuvent voir leurs commentaires cinématographiques. Ainsi que leurs films et séries préférés.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;;;;Aucune information.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;"""Si vous souhaitez
participer aux Services proposés par CANAL+ sur les Espaces communautaires
CANAL+, tels qu'un forum, un chat et/ou un blog, seul votre pseudonyme
apparaîtra et non votre adresse électronique.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;"L’essentiel des informations Spotify sont ou peuvent être accessibles par défaut aux autres, notamment votre nom et/ou nom d’utilisateur, votre photo de profil, votre type d’abonnement, vos relations et vos activités, y compris vos musiques préférées et celles que vous ajoutez, les applications tierces que vous ajoutez ou utilisez et le contenu Utilisateur que vous postez, télécharger et/ou qui contribue au Service. Votre activité sur le Service apparaît automatiquement dans le fil d’activité des amis et utilisateurs qui vous suivent ou sur votre profil Spotify.
Les informations vous concernant peuvent également être utilisées pour notifier aux autres utilisateurs, notamment sur le Service, par e-mail, et par l’intermédiaire de Facebook et d’Autres Services Intégrés, que vous avez rejoint Spotify, et les actions concernant leurs profils Spotify ou les contenus auxquels ils adhérent, ou qui nous paraissent intéressantes pour eux. De même, nous pouvons vous informer des activités des autres utilisateur. (Possibilité de limiter l'accès de certaines information. Pour que la session d'écoute soit privée, il est nécessaire à chaque fois d'activer cette option avant l'utilisation du service)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;"When you use the SoundHound applications, your mobile device supplies a 
unique identifier, which we use to associate search results, your 
bookmarks, and other information with your device. Absence de profil public. Identifiant uniquement pour se connecter au service et générer l'historique. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;;Nous faisons appel a? d'autres socie?te?s, agents ou sous­ traitants (« Fournisseurs de services ») qui prennent en charge certains services en notre nom ou qui nous aident a? vous fournir nos services. [...] Dans le cadre de la prestation de ces services, ces Fournisseurs de services sont susceptibles d'acce?der a? vos informations personnelles ou a? d'autres donne?es vous concernant. Nous ne les autorisons pas a? utiliser ni divulguer vos informations personnelles, sauf dans le cadre de la fourniture de leurs services.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données de localisation;Uniquement pour et pendant la fourniture de service/ conservation limitée aux obligations légales;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Publication automatique / poursuite de la collecte dans le temps après l’activation / concession de licence d’exploitation perpétuelle;Pas de collecte des données de localisation. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;"Les services proposés par Allociné n'intègrent pas la géolocalisation, en effet les utilisateurs doivent effectuer une recherche pour identifier les cinémas les plus proches, cette fonctionnalité n'est pas (encore) assurée par un service de géolocalisation. 
Toutefois l’application disponible sur smartphone intègre cette fonctionnalité mais aucune mention n’est fait dans les CGU qui ne sont, par ailleurs, pas disponibles sur l’application.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;;;;Aucune information.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;;;;Pas de collecte mentionnée.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;"Lorsque vous utilisez le Service, nous recueillons automatiquement certaines informations : des informations relatives à la localisation. Si vous avez associé votre
 compte à Facebook, nous pouvons recevoir des informations similaires 
liées à vos interactions avec le Service sur Facebook. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;;We improve the relevance of information provided in the applications using location information provided by your device, which you can choose to turn off. If your browser supplies location information (as determined by your browser settings), we may use that information to improve the relevance of information provided by the web site and applications.  Soundhound collecte les données de localisation mais possibilité d'opt out. Les données ne sont pas partagées et sont utilisées uniquement à l'amélioration du service fourni. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;Nous faisons appel a? d'autres socie?te?s, agents ou sous­ traitants (« Fournisseurs de services ») qui prennent en charge certains services en notre nom ou qui nous aident a? vous fournir nos services. [...] Dans le cadre de la prestation de ces services, ces Fournisseurs de services sont susceptibles d'acce?der a? vos informations personnelles ou a? d'autres donne?es vous concernant. Nous ne les autorisons pas a? utiliser ni divulguer vos informations personnelles, sauf dans le cadre de la fourniture de leurs services.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8tracks;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données dans le terminal;;Collecte des données de profilage et des données techniques (dont pub ciblée) pour la fourniture du service;Collecte des données de profilage et des données personnelles pour la fourniture du service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dailymotion;;Dailymotion affirme que ces données peuvent être utilisées pour améliorer les campagnes publicitaires ou marketing ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;Il n'est fait aucune mention de collecte de données du terminal au sein des CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;«Les données collectées automatiquement par le Site sont votre adresse IP (adresse de votre ordinateur), à l'exclusion de toute autre». ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;;"""Lorsque vous utilisez les Services, nos serveurs
enregistrent automatiquement des informations
telles que l'URL, votre adresse IP, le type et la langue du navigateur, ainsi
que la date et l'heure de chaque connexion.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;"Spotify accède au numéro d’identification unique de votre appareil, les performances du
 réseau et de l’ordinateur, le type de navigateur, la langue et les 
informations d’identification, des informations transactionnelles 
permettant la gestion des droits numériques, le système d’exploitation 
et la version de l’application Spotify. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;Collecte des données diverses fournies par le navigateur et recherches effectuées sur l'application (les données ne pourront être patagées qu'anonymisées). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;Il n'est fait aucune mention d'une collecte des données du terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cookies;Opt-in : droit pour les internautes d’accepter leur utilisation et de refuser le croisement des données de navigation de leur terminal avec leurs données personnelles;Opt-out : Droit pour les internautes de refuser les cookies;Utilisation nécessaire et possible association avec des données personnelles pour permettre le fonctionnement du service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dailymotion;;Les cookies sont désactivables via le navigateur. Seulement, Dailymotion prévient qu'il est possible que nous ne puissions pas accéder à toutes les fonctions interactives du site;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;;"Pour des besoins statistiques, AlloCiné peut être amenée à recueillir des informations de navigation via l'utilisation de cookies. L'acceptation de ces cookies est obligatoire pour toute souscription, gratuite ou payante.

L’Utilisateur peut à tout moment supprimer l’enregistrement des cookies, ou les cookies déjà enregistrés sur son ordinateur, en paramétrant les options de protection de la vie privée de son navigateur Internet + détail de la procédure de désactivation des Cookies (entrainant toutefois une impossibilité d’utiliser le service)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;;"«Vous pouvez à tout moment exprimer et modifier vos souhaits en matière de cookies. Vous pouvez configurer votre navigateur de manière à ce que des cookies de DEEZER ou de tiers soient enregistrés ou rejetés, de manière ponctuelle ou définitive. Il est possible que le paramétrage que vous choisirez soit susceptible de modifier votre navigation sur Internet et vos conditions d'accès à certains services du Site nécessitant l'utilisation de cookies.»
De plus, il est précisé à l’article 7 des CGU: «que la durée de conservation des « cookies » implantés par DEEZER est inférieure à 6 (six) mois».";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;;""" Vous pouvez vous opposer
à la mise en place de ces cookies en suivant la procédure indiquée sur votre
navigateur. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;"Nombreux cookies (cookies essentiels de fonctionnement, cookies de performance/analytique, cookies fonctionnels, cookies de ciblage/publicité, tiers, publicités) , possibilités de réfuser certains cookies mais ""merci de noter que cela pourrait compromettre ou empêcher le bon fonctionnement du Service.
"".  Est précisé que les utilisateurs ont la possibilité de se désincrire à deux services : Deux des services tiers que nous utilisons pour suivre l’activité liée au Service, par exemple en positionnant les cookies, sont Google Analytics et Hasoffer Analytics. Si vous ne voulez pas que Google Analytics recueille ou utilise vos informations, vous pouvez vous désinscrire à partir du navigateur (tools.google.com/dlpage/gaoptout?hl=None), et si vous ne voulez pas que Hasoffer Analytics recueille ou utilise vos informations vous pouvez vous désinscrire en cliquant sur le lien suivan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;;;"Your browser supplies various information, including cookies and an IP address. Cookies may include third party cookies, such as Google Analytics cookies (used to gather statistics about the use of the web site and applications) and advertiser cookies (used to improve the relevance of advertisements displayed on the web site and in the applications), as well as SoundHound cookies. Your device and browser should provide means to block cookies. However, if you block cookies, the web site and applications may not function correctly.
Cookies de tiers (cookies analytique), cookies de publicité, cookies de Soundhound. Si l’utilisateur bloque les cookies, l’application pourrait ne pas fonctionner correctement.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;Netflix et ses fournisseurs de services utilisent des cookies et d'autres technologies (comme des balises Web) pour différentes raisons. Les cookies et les autres technologies nous permettent notamment de vous faciliter l'accès à nos services parce que nous nous souvenons de vous chaque fois que vous vous connectez, d'assurer et d'analyser nos prestations, de connaître plus précisément nos utilisateurs, de mieux comprendre leurs intérêts, ainsi que de cibler nos publicités et nos campagnes marketing. Cette notification vise à vous informer de l'utilisation que nous faisons de telles technologies. Elle explique les types de technologie dont nous nous servons, leur utilité et les choix dont vous disposez concernant leur utilisation.    Les paramètres de confidentialité de la plupart des navigateurs permettent d'empêcher l'acceptation automatique de nouveaux cookies en vous notifiant de leur réception ou en les désactivant complètement. Si votre navigateur est paramétré de façon à refuser systématiquement les cookies, vous ne recevrez aucune publicité ciblée, mais les services de Netflix pourront être altérés, voire indisponibles. En outre, le refus de certains cookies par l'intermédiaire de notre outil implique l'installation d'un cookie enregistrant ce choix sur votre appareil. Il est donc essentiel que votre navigateur soit configuré de manière à accepter les cookies pour permettre l'enregistrement de vos préférences. En cas de suppression des cookies ou de changement de navigateur, vous devrez paramétrer à nouveau vos préférences d'utilisation des cookies. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;;"« When you access the 8tracks Platform, we may send one or more cookies — small text files containing a string of alphanumeric characters — to your computer. 8tracks may use both session cookies and persistent cookies. A session cookie disappears after you close your browser. A persistent cookie remains after you close your browser and may be used by your browser on subsequent visits to the 8tracks Platform in order to improve your experience, as explained in B below. Persistent cookies can be removed. Please review your web browser ""Help"" file to learn the best way to modify your cookie settings. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pixels espion;Pas d’utilisation;Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées;Implémentation sans transparence ni précision sur les finalités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;Pas d'information à ce sujet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;;;;;Pas d'information;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;;;;Pas d'information en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;"""Il existe d’autres technologies similaires, comme les pixels tags, les bugs, les web storage et autres qui sont assimilés aux cookies. Spotify emploie le terme cookies dans l’optique de se référer aux cookies et toutes technologies similaires qui réunissent des informations de cette manière.""  Les finalités des cookies sont précisés : Cookies essentiels de fonctionnement         Ces cookies sont nécessaires pour nous permettre d’exploiter le Service Spotify tel que vous nous l’avez demandé. Par exemple, ils nous permettent de reconnaître le type d’abonné que vous êtes et donc de vous fournir les services correspondants à votre abonnement.
Cookies de performance/Analytique         Nous utilisons ces cookies pour analyser la manière dont le Service Spotify Service est utilisé ou fonctionne. Nous utilisons ces informations pour maintenir, exploiter et améliorer continuellement le Service Spotify. Nous pouvons également obtenir des informations par nos newsletters, pour savoir de quelle manière vous les ouvrez, les suivez ou sur quel contenu vous cliquez. Cette information nous permet de nous assurer que nous transmettons des informations qui vous intéressent.
Cookies fonctionnels         Ces cookies nous permettent d’exploiter certaines fonctions du Service Spotify en fonction de vos choix. Lorsque vous vous connectez à au Service Spotify, ces cookies nous permettent de vous fournir nos services tel que vous nous l’avez demandé et, notamment, de connaître votre nom d’utilisateur, de nous souvenir de la manière dont vous avez personnalisé nos services et de vous rappeler la musique que vous avez appréciée.
Cookies de ciblage/publicité         Nous utilisons ces cookies pour vous proposer des publicités qui peuvent être pertinentes pour vous et correspondre à vos intérêts. Ces informations peuvent également être utilisées à des fins de limitation de fréquence et pour contrôler les publicités que vous recevez et de mesurer leur efficacité.
Tiers  : Nous pouvons autoriser nos partenaires commerciaux à utiliser des cookies sur le Service de Spotify pour les mêmes fins que celles mentionnées ci-dessus. Nous pouvons également recourir à des prestataires de services, agissant en notre nom, pour utiliser les cookies dans les objectifs susvisés.
Publicités    :   Nous travaillons avec des éditeurs web, des réseaux publicitaires, et des fournisseurs de services pour faire de la publicité à Spotify sur d’autres sites web. Les cookies peuvent être utilisés pour vous donner accès à des publicités pertinentes au regard de vos intérêts et pour réguler le nombre de ublicités que vous recevez ainsi que mesurer leur efficacité.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soundhound;Pas d'informaiton à ce sujet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;Pas d'information à ce sujet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Délai d’anonymisation;Suppression dès la suppression du compte / pas de conservation de données anonymisées Conservation systématique si obligation légale;Anonymisation dès la suppression du compte;Anonymisation après la suppression du compte ou après un délai supérieur à 6 mois;Aucune anonymisation voire potentiellement aucune suppression;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dailymotion;;;Dailymotion affirme que les données sont stockées sur les serveurs seulement la durée strictement nécessaire à l'utilisation de notre compte. Toutefois, Dailymotion ajoute que les données ainsi que le contenu (vidéos, commentaires, ...) seront conservés un an à compter de la désactivation du compte.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;AlloCiné conserve les données personnelles de l’Utilisateur pour la durée nécessaire aux finalités décrites au présent article et aux fins de conserver les éléments nécessaires en cas de mise en jeu de sa responsabilité contractuelle et/ou délictuelle. lloCiné pourra à toutes fins de preuve conserver et archiver de manière confidentielle les données du client, pour la durée fixée par AlloCiné et au maximum pour la durée de prescription de droit commun des actions civiles en vertu de l'article 2262 du code civil.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;;"«Les données sont stockées chez l'hébergeur du Site identifié au sein des Mentions Légales et sont conservées pour la durée strictement nécessaire à la réalisation des finalités visées ci-avant. Au-delà de cette durée, elles seront conservées à des fins exclusivement statistiques et ne donneront lieu à aucune exploitation, de quelle que nature que ce soit».

De plus, il est précisé à l’article 7 des CGU: «que la durée de conservation des « cookies » implantés par DEEZER est inférieure à 6 (six) mois».";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;"""Les données sont stockées chez l'hébergeur du Site identifié au sein de la rubrique Mentions
légales et sont conservées pour la durée strictement nécessaire à la
réalisation de la finalité cité ci-avant. Au-delà de cette durée, ces données
seront supprimées.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;;Aucune information à ce sujet en cas de suppression/désactivation du compte. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix;;;Netflix est libre d'utiliser les commentaires, les informations, les ide?es, les concepts, les e?valuations ou les techniques, ou tout autre contenu inclus dans les communications que vous nous envoyez (« commentaires »), y compris vos re?ponses a? des questionnaires ou vos publications sur le service Netflix, y compris le site Web et les interfaces utilisateurs de Netflix, dans le monde entier, sans limitation de dure?e, sans autres contrepartie, reconnaissance ou re?mune?ration supple?mentaires a? votre e?gard pour quelque fin que ce soit;"Netflix se réserve le droit d'utiliser toutes les données collectées sans limitations de durée. Mérite la création d'une classification ""++++ : pas d'anonymisation"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
